Scientific Name,Root,URL,USDA Symbol
Caulophyllum thalictroides,PrairieMoon.com,https://www.prairiemoon.com/caulophyllum-thalictroides-blue-cohosh-prairie-moon-nursery.html,CATH2
Ceanothus americanus,PrairieMoon.com,https://www.prairiemoon.com/ceanothus-americanus-new-jersey-tea-prairie-moon-nursery.html,CEAM
Celastrus scandens,PrairieMoon.com,https://www.prairiemoon.com/celastrus-scandens-bittersweet-unsexed-prairie-moon-nursery.html,CESC
Cephalanthus occidentalis,PrairieMoon.com,https://www.prairiemoon.com/cephalanthus-occidentalis-buttonbush-prairie-moon-nursery.html,CEOC2
Chamaecrista fasciculata,PrairieMoon.com,https://www.prairiemoon.com/chamaecrista-fasciculata-partridge-pea-prairie-moon-nursery.html,CHFA2
Chasmanthium latifolium,PrairieMoon.com,https://www.prairiemoon.com/chasmanthium-latifolium-river-oats-prairie-moon-nursery.html,CHLA5
Chelone glabra,PrairieMoon.com,https://www.prairiemoon.com/chelone-glabra-turtlehead-prairie-moon-nursery.html,CHGL2
Cicuta maculata,PrairieMoon.com,https://www.prairiemoon.com/cicuta-maculata-water-hemlock-prairie-moon-nursery.html,CIMA2
Cinna arundinacea,PrairieMoon.com,https://www.prairiemoon.com/cinna-arundinacea-wood-reed-grass-prairie-moon-nursery.html,CIAR2
Cirsium altissimum,PrairieMoon.com,https://www.prairiemoon.com/cirsium-altissimum-tall-thistle-prairie-moon-nursery.html,CIAL2
Cirsium discolor,PrairieMoon.com,https://www.prairiemoon.com/cirsium-discolor-pasture-thistle-prairie-moon-nursery.html,CIDI
Cirsium muticum,PrairieMoon.com,https://www.prairiemoon.com/cirsium-muticum-swamp-thistle-prairie-moon-nursery.html,CIMU
Claytonia virginica,PrairieMoon.com,https://www.prairiemoon.com/claytonia-virginica-spring-beauty-prairie-moon-nursery.html,CLVI3
Clematis virginiana,PrairieMoon.com,https://www.prairiemoon.com/clematis-virginiana-virgins-bower-prairie-moon-nursery.html,CLVI5
Comandra umbellata,PrairieMoon.com,https://www.prairiemoon.com/comandra-umbellata-bastard-toadflax-prairie-moon-nursery.html,COUM
Conoclinium coelestinum,PrairieMoon.com,https://www.prairiemoon.com/eupatorium-coelestinum-mistflower-prairie-moon-nursery.html,COCO13
Coreopsis lanceolata,PrairieMoon.com,https://www.prairiemoon.com/coreopsis-lanceolata-lance-leaf-coreopsis-prairie-moon-nursery.html,COLA5
Coreopsis palmata,PrairieMoon.com,https://www.prairiemoon.com/coreopsis-palmata-prairie-coreopsis-prairie-moon-nursery.html,COPA10
Coreopsis tripteris,PrairieMoon.com,https://www.prairiemoon.com/coreopsis-tripteris-tall-coreopsis-prairie-moon-nursery.html,COTR4
Cornus alternifolia,PrairieMoon.com,https://www.prairiemoon.com/cornus-alternifolia-pagoda-dogwood-prairie-moon-nursery.html,COAL2
Crotalaria sagittalis,PrairieMoon.com,https://www.prairiemoon.com/crotalaria-sagittalis-rattlebox-prairie-moon-nursery.html,CRSA4
Cryptotaenia canadensis,PrairieMoon.com,https://www.prairiemoon.com/cryptotaenia-canadensis-honewort-prairie-moon-nursery.html,CRCA9
Cynoglossum virginianum,PrairieMoon.com,https://www.prairiemoon.com/cynoglossum-virginianun-wild-comfrey,CYVI
Cyperus lupulinus,PrairieMoon.com,https://www.prairiemoon.com/cyperus-lupulinus-great-plains-flat-sedge-prairie-moon-nursery.html,CYLU2
Dalea candida,PrairieMoon.com,https://www.prairiemoon.com/dalea-candida-white-prairie-clover-prairie-moon-nursery.html,DACA7
Dalea foliosa,PrairieMoon.com,https://www.prairiemoon.com/dalea-foliosa-leafy-prairie-clover-prairie-moon-nursery.html,DAFO2
Dalea purpurea,PrairieMoon.com,https://www.prairiemoon.com/dalea-purpurea-purple-prairie-clover-prairie-moon-nursery.html,DAPU5
Danthonia spicata,PrairieMoon.com,https://www.prairiemoon.com/danthonia-spicata-poverty-oat-grass-prairie-moon-nursery.html,DASP2
Dasistoma macrophylla,PrairieMoon.com,https://www.prairiemoon.com/dasistoma-macrophylla-mullein-foxglove-prairie-moon-nursery.html,DAMA
Delphinium exaltatum,PrairieMoon.com,https://www.prairiemoon.com/delphinium-exaltatum-tall-larkspur-prairie-moon-nursery.html,DEEX
Desmanthus illinoensis,PrairieMoon.com,https://www.prairiemoon.com/desmanthus-illinoensis-illinois-bundle-flower-prairie-moon-nursery.html,DEIL
Desmodium paniculatum,PrairieMoon.com,https://www.prairiemoon.com/desmodium-paniculatum-panicled-tick-trefoil-prairie-moon-nursery.html,DEPA6
Desmodium sessilifolium,PrairieMoon.com,https://www.prairiemoon.com/desmodium-sessilifolium-sessile-leaf-tick-trefoil-prairie-moon-nursery.html,DESE
Diarrhena americana,PrairieMoon.com,https://www.prairiemoon.com/diarrhena-americana-american-beak-grass,DIAM
Dicentra cucullaria,PrairieMoon.com,https://www.prairiemoon.com/dicentra-cucullaria-dutchmans-breeches-prairie-moon-nursery.html,DICU
Dodecatheon meadia,PrairieMoon.com,https://www.prairiemoon.com/dodecatheon-meadia-midland-shooting-star-prairie-moon-nursery.html,DOME
Doellingeria umbellata,PrairieMoon.com,https://www.prairiemoon.com/doellingeria-umbellata-flat-topped-aster,DOUM2
Dulichium arundinaceum,PrairieMoon.com,https://www.prairiemoon.com/dulichium-arundinaceum-three-way-sedge-prairie-moon-nursery.html,DUAR3
Echinacea pallida,PrairieMoon.com,https://www.prairiemoon.com/echinacea-pallida-pale-purple-coneflower-prairie-moon-nursery.html,ECPA
Echinacea purpurea,PrairieMoon.com,https://www.prairiemoon.com/echinacea-purpurea-purple-coneflower-prairie-moon-nursery.html,ECPU
Echinacea simulata,PrairieMoon.com,https://www.prairiemoon.com/echinacea-simulata-ozark-coneflower-prairie-moon-nursery.html,ECSI
Eleocharis acicularis,PrairieMoon.com,https://www.prairiemoon.com/eleocharis-acicularis-spike-rush-prairie-moon-nursery.html,ELAC
Eleocharis compressa,PrairieMoon.com,https://www.prairiemoon.com/eleocharis-compressa-flatstem-spike-rush-prairie-moon-nursery.html,ELCO2
Eleocharis obtusa,PrairieMoon.com,https://www.prairiemoon.com/eleocharis-obtusa-blunt-spike-rush-prairie-moon-nursery.html,ELOB2
Eleocharis palustris,PrairieMoon.com,https://www.prairiemoon.com/eleocharis-palustris-great-spike-rush-prairie-moon-nursery.html,ELPA3
Elymus hystrix,PrairieMoon.com,https://www.prairiemoon.com/elymus-hystrix-bottlebrush-grass-prairie-moon-nursery.html,ELHY
Elymus villosus,PrairieMoon.com,https://www.prairiemoon.com/elymus-villosus-silky-wild-rye-prairie-moon-nursery.html,ELVI
Elymus virginicus,PrairieMoon.com,https://www.prairiemoon.com/elymus-virginicus-virginia-wild-rye-prairie-moon-nursery.html,ELVI3
Epilobium coloratum,PrairieMoon.com,https://www.prairiemoon.com/epilobium-coloratum-cinnamon-willow-herb-prairie-moon-nursery.html,EPCO
Eragrostis spectabilis,PrairieMoon.com,https://www.prairiemoon.com/eragrostis-spectabilis-purple-love-grass-prairie-moon-nursery.html,ERSP
Eragrostis trichodes,PrairieMoon.com,https://www.prairiemoon.com/eragrostis-trichodes-sand-love-grass-prairie-moon-nursery.html,ERTR3
Erigeron pulchellus,PrairieMoon.com,https://www.prairiemoon.com/erigeron-pulchellus-robins-plantain-prairie-moon-nursery.html,ERPU
