,Sun Exposure,Sun Exposure,index,Soil Moisture,index,Plant Type,index,Pollinators,index,Flowering Months,index,Height (feet),index,Showy
87,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Butterfly); Larval Host (Moth)",3,,,50–90,2,,
88,,,,,,,Honey Bees,3,,,30–40,2,,
89,,,,,,,Native Bees; Bombus; Honey Bees; Larval Host (Moth),3,,,0.5–2,2,,
90,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Hummingbirds",3,,,6–25,2,,
91,,,,,,,"Beetles, Wasps, Flies; Larval Host (Butterfly)",3,,,40,2,,
92,,,,,,,"Beetles, Wasps, Flies; Larval Host (Moth)",3,,,2–8,2,,
93,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth); Wind",3,,,0.2–0.5,2,,
94,,,,,,,Nesting and Structure (Bees),3,,,4–8,2,,
95,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Butterfly)",3,,,2–10,2,,
96,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs",3,,,1–6,2,,
97,,,,,,,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies",3,,,20–35,2,,
98,,,,,,,Native Bees; Bombus; Butterflies; Larval Host (Butterfly),3,,,2.5–3.5,2,,
99,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Moth)",3,,,15–30,2,,
100,,,,,,,Native Bees; Hummingbirds,3,,,10–30,2,,
101,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Butterfly)",2,,,85,2,,
102,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",2,,,6–15,2,,
103,,,,,,,Native Bees; Honey Bees; Butterflies,2,,,6–9,2,,
104,,,,,,,Nesting and Structure (Bees); Larval Host (Butterfly); Wind,2,,,12–15,2,,
105,,,,,,,Native Bees; Bombus; Moths; Butterflies; Hummingbirds,2,,,1.8,2,,
106,,,,,,,Native Bees; Bombus; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds,2,,,60–80,2,,
107,,,,,,,Honey Bees; Larval Host (Moth),2,,,30–50,2,,
108,,,,,,,Moths; Larval Host (Moth),2,,,23,2,,
109,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Butterfly); Larval Host (Moth)",2,,,115,2,,
110,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly)",2,,,40–80,2,,
111,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Hummingbirds",2,,,0.5–2.5,2,,
112,,,,,,,Native Bees; Bombus; Moths; Butterflies,2,,,10–50,1,,
113,,,,,,,Native Bees; Bombus; Butterflies; Larval Host (Moth); Hummingbirds,2,,,8–16,1,,
114,,,,,,,"Native Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",2,,,15–70,1,,
115,,,,,,,Bombus; Larval Host (Moth); Wind,2,,,15–35,1,,
116,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth); Hummingbirds",2,,,150,1,,
117,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",2,,,5–20,1,,
118,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Moth); Hummingbirds",2,,,25–50,1,,
119,,,,,,,Bombus; Butterflies; Larval Host (Moth),2,,,25–45,1,,
120,,,,,,,Moths; Butterflies; Hummingbirds,2,,,0.4,1,,
121,,,,,,,Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth),2,,,6–30,1,,
122,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Moth)",2,,,6–60,1,,
123,,,,,,,Butterflies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth); Wind,2,,,3–9,1,,
124,,,,,,,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Moths; Larval Host (Moth)",2,,,65,1,,
125,,,,,,,Butterflies; Larval Host (Moth); Hummingbirds,2,,,130,1,,
126,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly)",2,,,80–180,1,,
127,,,,,,,Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth); Wind,2,,,4–12,1,,
128,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Monarch); Larval Host (Butterfly)",2,,,190,1,,
129,,,,,,,Native Bees; Bombus; Honey Bees; Butterflies; Hummingbirds,2,,,24,1,,
130,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",2,,,1.5–3.5,1,,
131,,,,,,,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs",2,,,8–10,1,,
132,,,,,,,"Native Bees; Beetles, Wasps, Flies; Larval Host (Butterfly); Larval Host (Moth)",2,,,50–95,1,,
133,,,,,,,"Native Bees; Beetles, Wasps, Flies; Butterflies; Monarchs",2,,,52,1,,
134,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",2,,,12–50,1,,
135,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",2,,,8–12,1,,
136,,,,,,,Larval Host (Butterfly); Larval Host (Moth); Hummingbirds,2,,,5–12,1,,
137,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Moth); Hummingbirds",1,,,28,1,,
138,,,,,,,Larval Host (Moth); Hummingbirds,1,,,83,1,,
139,,,,,,,Native Bees; Butterflies; Monarchs; Larval Host (Butterfly); Larval Host (Moth),1,,,5–6,1,,
140,,,,,,,"Beetles, Wasps, Flies; Larval Host (Butterfly); Larval Host (Moth)",1,,,73,1,,
141,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth); Hummingbirds",1,,,6–13,1,,
142,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Hummingbirds",1,,,45,1,,
143,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Hummingbirds",1,,,15–25,1,,
144,,,,,,,"Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Hummingbirds",1,,,2–15,1,,
145,,,,,,,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly)",1,,,60–90,1,,
146,,,,,,,Native Bees; Bombus; Honey Bees; Butterflies; Larval Host (Butterfly); Larval Host (Moth),1,,,5–30,1,,
147,,,,,,,Bombus; Larval Host (Butterfly); Larval Host (Moth),1,,,105,1,,
148,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",1,,,4–10,1,,
149,,,,,,,Native Bees; Butterflies; Nesting and Structure (Bees); Larval Host (Butterfly); Wind,1,,,2.2,1,,
150,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth)",1,,,4–16,1,,
151,,,,,,,Native Bees; Moths; Butterflies,1,,,4–9,1,,
152,,,,,,,Native Bees; Larval Host (Butterfly); Larval Host (Moth); Wind,1,,,12–35,1,,
153,,,,,,,Native Bees; Bombus; Butterflies; Larval Host (Moth),1,,,48,1,,
154,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Hummingbirds",1,,,95,1,,
155,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Moth); Hummingbirds",1,,,0.6–1,1,,
156,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Hummingbirds",1,,,50–75,1,,
157,,,,,,,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Butterfly); Larval Host (Moth)",1,,,0.3–4,1,,
158,,,,,,,Native Bees; Bombus; Moths; Butterflies; Larval Host (Moth),1,,,2.5–5,1,,
159,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth); Wind",1,,,10–40,1,,
160,,,,,,,Native Bees; Honey Bees; Wind,1,,,0.2–0.7,1,,
161,,,,,,,"Native Bees; Beetles, Wasps, Flies; Butterflies; Hummingbirds",1,,,6–7,1,,
162,,,,,,,"Native Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs",1,,,0.7–1,1,,
163,,,,,,,Butterflies; Monarchs; Hummingbirds,1,,,15–20,1,,
164,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",1,,,6–40,1,,
165,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Moth); Hummingbirds",1,,,65–100,1,,
166,,,,,,,Native Bees; Bombus; Butterflies; Nesting and Structure (Bees),1,,,40–100,1,,
167,,,,,,,Honey Bees; Butterflies,1,,,68,1,,
168,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees)",1,,,1.5–4,1,,
169,,,,,,,Native Bees; Bombus; Nesting and Structure (Bees),1,,,15–40,1,,
170,,,,,,,Nesting and Structure (Bees); Larval Host (Moth),1,,,0.5–0.8,1,,
171,,,,,,,Bombus; Larval Host (Moth),1,,,12–18,1,,
172,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Butterfly)",1,,,8–9,1,,
173,,,,,,,Butterflies; Larval Host (Butterfly); Wind,1,,,10–25,1,,
174,,,,,,,Native Bees; Butterflies; Monarchs; Larval Host (Moth),1,,,20–50,1,,
175,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Moth); Hummingbirds",1,,,7–30,1,,
176,,,,,,,Native Bees; Butterflies; Monarchs,1,,,26,1,,
177,,,,,,,Native Bees; Bombus; Butterflies; Monarchs; Larval Host (Moth); Hummingbirds,1,,,5–18,1,,
178,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies; Hummingbirds",1,,,1–3.5,1,,
179,,,,,,,"Native Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth); Hummingbirds",1,,,20–30,1,,
180,,,,,,,Larval Host (Moth); Bats,1,,,10–75,1,,
181,,,,,,,"Beetles, Wasps, Flies; Butterflies",1,,,5.5,1,,
182,,,,,,,Native Bees; Moths; Larval Host (Moth),1,,,65–75,1,,
183,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Monarch); Larval Host (Butterfly)",1,,,0.3–0.8,1,,
184,,,,,,,"Beetles, Wasps, Flies; Butterflies; Hummingbirds",1,,,0.3–0.6,1,,
185,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Butterfly); Hummingbirds",1,,,5–25,1,,
186,,,,,,,Native Bees; Bombus; Butterflies; Larval Host (Butterfly); Hummingbirds,1,,,2.5–6,1,,
187,,,,,,,Native Bees; Bombus; Hummingbirds,1,,,1.5–5,1,,
