USDA,Scientific Name,Root,Web
BOCU,Bouteloua curtipendula,ErnstSeed.com,https://www.ernstseed.com/product/sideoats-grama-butte/?anchor=83
CAAL5,Carex albolutescens,ErnstSeed.com,https://www.ernstseed.com/product/greenwhite-sedge-coastal-plain-nc-ecotype/?anchor=103
CACO8,Carex comosa,ErnstSeed.com,https://www.ernstseed.com/product/cosmos-bristly-sedge-pa-ecotype/?anchor=104
CACR6,Carex crinita,ErnstSeed.com,https://www.ernstseed.com/product/fringed-nodding-sedge-pa-ecotype/?anchor=105
CAFR3,Carex frankii,ErnstSeed.com,https://www.ernstseed.com/product/franks-sedge-pa-ecotype/?anchor=106
CAGR5,Carex grayi,ErnstSeed.com,https://www.ernstseed.com/product/grays-sedge-pa-ecotype/?anchor=108
CAGY4,Carex gynandra,ErnstSeed.com,https://www.ernstseed.com/product/nodding-sedge-pa-ecotype/?anchor=109
CAIN12,Carex intumescens,ErnstSeed.com,https://www.ernstseed.com/product/bladder-star-sedge-pa-ecotype/?anchor=110
CALU4,Carex lupulina,ErnstSeed.com,https://www.ernstseed.com/product/hop-sedge-md-ecotype/?anchor=111
CALU5,Carex lurida,ErnstSeed.com,https://www.ernstseed.com/product/lurid-shallow-sedge-pa-ecotype/?anchor=113
CASC11,Carex scoparia,ErnstSeed.com,https://www.ernstseed.com/product/blunt-broom-sedge-pa-ecotype/?anchor=114
CAST5,Carex stipata,ErnstSeed.com,https://www.ernstseed.com/product/awl-sedge-pa-ecotype/?anchor=116
CAST8,Carex stricta,ErnstSeed.com,https://www.ernstseed.com/product/tussock-sedge-pa-ecotype/?anchor=117
CAVU2,Carex vulpinoidea,ErnstSeed.com,https://www.ernstseed.com/product/fox-sedge-pa-ecotype/?anchor=118
CAOV2,Carya ovata,ErnstSeed.com,https://www.ernstseed.com/product/shagbark-hickory/?anchor=119
CEOC2,Cephalanthus occidentalis,ErnstSeed.com,https://www.ernstseed.com/product/buttonbush/?anchor=122
CECA4,Cercis canadensis,ErnstSeed.com,https://www.ernstseed.com/product/eastern-redbud/?anchor=123
CHFA2,Chamaecrista fasciculata,ErnstSeed.com,https://www.ernstseed.com/product/partridge-pea-fl-ecotype/?anchor=124
CHNI2,Chamaecrista nictitans,ErnstSeed.com,https://www.ernstseed.com/product/sensitive-pea-nc-ecotype/?anchor=126
CHLA5,Chasmanthium latifolium,ErnstSeed.com,https://www.ernstseed.com/product/river-oats/?anchor=127
CHLA6,Chasmanthium laxum,ErnstSeed.com,https://www.ernstseed.com/product/slender-woodoats-nc-ecotype/?anchor=129
CHGL2,Chelone glabra,ErnstSeed.com,https://www.ernstseed.com/product/turtlehead-pa-ecotype/?anchor=131
CIAR2,Cinna arundinacea,ErnstSeed.com,https://www.ernstseed.com/product/wood-reedgrass-pa-ecotype/?anchor=137
CLVI5,Clematis virginiana,ErnstSeed.com,https://www.ernstseed.com/product/virgins-bower-pa-ecotype/?anchor=139
COBA2,Coreopsis basalis,ErnstSeed.com,https://www.ernstseed.com/product/goldenmane-tickseed-fl-ecotype/?anchor=140
COGR5,Coreopsis grandiflora,ErnstSeed.com,https://www.ernstseed.com/product/largeflower-tickseed-piedmont-ga-ecotype/?anchor=141
COLA5,Coreopsis lanceolata,ErnstSeed.com,https://www.ernstseed.com/product/lanceleaf-coreopsis/?anchor=142
COTI3,Coreopsis tinctoria,ErnstSeed.com,https://www.ernstseed.com/product/plains-coreopsis/?anchor=144
COTR4,Coreopsis tripteris,ErnstSeed.com,https://www.ernstseed.com/product/tall-coreopsis-pa-ecotype/?anchor=145
COAL2,Cornus alternifolia,ErnstSeed.com,https://www.ernstseed.com/product/pagoda-dogwood-pa-ecotype/?anchor=146
COAM2,Cornus amomum,ErnstSeed.com,https://www.ernstseed.com/product/silky-dogwood-ia-ecotype/?anchor=147
COFL2,Cornus florida,ErnstSeed.com,https://www.ernstseed.com/product/flowering-dogwood-pa-ecotype/?anchor=149
COAM3,Corylus americana,ErnstSeed.com,https://www.ernstseed.com/product/hazelnutamerican-filbert/?anchor=156
DACA7,Dalea candida,ErnstSeed.com,https://www.ernstseed.com/product/white-prairie-clover/?anchor=164
DAPU5,Dalea purpurea,ErnstSeed.com,https://www.ernstseed.com/product/purple-prairie-clover/?anchor=165
DEIL,Desmanthus illinoensis,ErnstSeed.com,https://www.ernstseed.com/product/illinois-bundleflower/?anchor=169
DEPA6,Desmodium paniculatum,ErnstSeed.com,https://www.ernstseed.com/product/panicledleaf-ticktrefoil-pa-ecotype/?anchor=171
DUAR3,Dulichium arundinaceum,ErnstSeed.com,https://www.ernstseed.com/product/threeway-sedge-pa-ecotype/?anchor=173
ECPA,Echinacea pallida,ErnstSeed.com,https://www.ernstseed.com/product/pale-purple-coneflower/?anchor=174
ECPU,Echinacea purpurea,ErnstSeed.com,https://www.ernstseed.com/product/purple-coneflower/?anchor=175
ECMU2,Echinochloa muricata,ErnstSeed.com,https://www.ernstseed.com/product/barnyardgrass/?anchor=178
ELOB2,Eleocharis obtusa,ErnstSeed.com,https://www.ernstseed.com/product/blunt-spikerush/?anchor=179
ELPA3,Eleocharis palustris,ErnstSeed.com,https://www.ernstseed.com/product/creeping-spikerush/?anchor=180
ELGL3,Elymus glabriflorus,ErnstSeed.com,https://www.ernstseed.com/product/southeastern-wildrye/?anchor=182
ELHY,Elymus hystrix,ErnstSeed.com,https://www.ernstseed.com/product/bottlebrush-grass-mn-ecotype/?anchor=183
ELVI,Elymus villosus,ErnstSeed.com,https://www.ernstseed.com/product/silky-wildrye/?anchor=186
ELVI3,Elymus virginicus,ErnstSeed.com,https://www.ernstseed.com/product/virginia-wildrye/?anchor=187
ERSP,Eragrostis spectabilis,ErnstSeed.com,https://www.ernstseed.com/product/purple-lovegrass-fort-indiantown-gap-pa-ecotype/?anchor=195
ERYU,Eryngium yuccifolium,ErnstSeed.com,https://www.ernstseed.com/product/rattlesnake-master/?anchor=200
ESCA2,Eschscholzia californica,ErnstSeed.com,https://www.ernstseed.com/product/california-orange-poppy/?anchor=202
EUPE3,Eupatorium perfoliatum,ErnstSeed.com,https://www.ernstseed.com/product/boneset-pa-ecotype/?anchor=208
EUGR5,Euthamia graminifolia,ErnstSeed.com,https://www.ernstseed.com/product/grassleaf-goldenrod-pa-ecotype/?anchor=211
FERU2,Festuca rubra,ErnstSeed.com,https://www.ernstseed.com/product/creeping-red-fescue/?anchor=230
FRPE,Fraxinus pennsylvanica,ErnstSeed.com,https://www.ernstseed.com/product/green-ash-pa-ecotype/?anchor=234
GAPU,Gaillardia pulchella,ErnstSeed.com,https://www.ernstseed.com/product/annual-gaillardia-indian-blanket/?anchor=236
GABI2,Gaura biennis,ErnstSeed.com,https://www.ernstseed.com/product/biennial-beeblossom/?anchor=237
GECA7,Geum canadense,ErnstSeed.com,https://www.ernstseed.com/product/white-avens-pa-ecotype/?anchor=239
GLST,Glyceria striata,ErnstSeed.com,https://www.ernstseed.com/product/fowl-mannagrass/?anchor=243
HAVI4,Hamamelis virginiana,ErnstSeed.com,https://www.ernstseed.com/product/witchhazel-pa-ecotype/?anchor=247
HEAU,Helenium autumnale,ErnstSeed.com,https://www.ernstseed.com/product/common-sneezeweed-northern-va-ecotype/?anchor=248
HEFL,Helenium flexuosum,ErnstSeed.com,https://www.ernstseed.com/product/purplehead-sneezeweed-va-ecotype/?anchor=250
HEAN2,Helianthus angustifolius,ErnstSeed.com,https://www.ernstseed.com/product/narrowleaf-sunflower-al-ecotype/?anchor=251
HEAN3,Helianthus annuus,ErnstSeed.com,https://www.ernstseed.com/product/common-sunflower/?anchor=256
HEGI,Helianthus giganteus,ErnstSeed.com,https://www.ernstseed.com/product/giant-sunflower-pa-ecotype/?anchor=257
HEHE5,Heliopsis helianthoides,ErnstSeed.com,https://www.ernstseed.com/product/oxeye-sunflower-pa-ecotype/?anchor=260
HIMO,Hibiscus moscheutos,ErnstSeed.com,https://www.ernstseed.com/product/crimsoneyed-rosemallow-suther-piedmont-nc-ecotype/?anchor=262
HYPU,Hypericum punctatum,ErnstSeed.com,https://www.ernstseed.com/product/spotted-st-johnswort-pa-ecotype/?anchor=267
ILVE,Ilex verticillata,ErnstSeed.com,https://www.ernstseed.com/product/winterberry-pa-ecotype/?anchor=269
JUEF,Juncus effusus,ErnstSeed.com,https://www.ernstseed.com/product/soft-rush/?anchor=271
JUTE,Juncus tenuis,ErnstSeed.com,https://www.ernstseed.com/product/path-rush-nc-ecotype/?anchor=274
KOMA,Koeleria macrantha,ErnstSeed.com,https://www.ernstseed.com/product/junegrass/?anchor=276
KOVI,Kosteletzkya virginica,ErnstSeed.com,https://www.ernstseed.com/product/virginia-saltmarsh-mallow-md-ecotype/?anchor=277
LEOR,Leersia oryzoides,ErnstSeed.com,https://www.ernstseed.com/product/rice-cutgrass-pa-ecotype/?anchor=280
LECA8,Lespedeza capitata,ErnstSeed.com,https://www.ernstseed.com/product/roundhead-lespedeza-ri-ecotype/?anchor=281
LEFR5,Lespedeza frutescens,ErnstSeed.com,https://www.ernstseed.com/product/shrubby-bushclover-md-ecotype/?anchor=283
LEVI7,Lespedeza virginica,ErnstSeed.com,https://www.ernstseed.com/product/slender-lespedeza-va-ecotype/?anchor=286
LISP,Liatris spicata,ErnstSeed.com,https://www.ernstseed.com/product/marsh-dense-blazing-star-spiked-gayfeather/?anchor=288
LITE6,Liatris tenuifolia,ErnstSeed.com,https://www.ernstseed.com/product/shortleaf-blazing-star-fl-panhandle-ecotype/?anchor=291
LIBE3,Lindera benzoin,ErnstSeed.com,https://www.ernstseed.com/product/spicebush/?anchor=293
LOSI,Lobelia siphilitica,ErnstSeed.com,https://www.ernstseed.com/product/great-blue-lobelia-pa-ecotype/?anchor=297
LUAL2,Ludwigia alternifolia,ErnstSeed.com,https://www.ernstseed.com/product/seedbox-pa-ecotype/?anchor=314
LUPE3,Lupinus perennis,ErnstSeed.com,https://www.ernstseed.com/product/perennial-blue-lupine-common-commercial/?anchor=317
LYAM,Lycopus americanus,ErnstSeed.com,https://www.ernstseed.com/product/american-water-horehound-pa-ecotype/?anchor=318
MIRI,Mimulus ringens,ErnstSeed.com,https://www.ernstseed.com/product/square-stemmed-monkeyflower/?anchor=322
MOFI,Monarda fistulosa,ErnstSeed.com,https://www.ernstseed.com/product/wild-bergamot/?anchor=324
MOME,Monarda media,ErnstSeed.com,https://www.ernstseed.com/product/purple-bergamot-pa-ecotype/?anchor=326
MOPU,Monarda punctata,ErnstSeed.com,https://www.ernstseed.com/product/spotted-beebalm-albany-pine-bush-ny-ecotype/?anchor=327
MUCA2,Muhlenbergia capillaris,ErnstSeed.com,https://www.ernstseed.com/product/hairawn-muhly-fl-ecotype/?anchor=330
NYSY,Nyssa sylvatica,ErnstSeed.com,https://www.ernstseed.com/product/blackgum-pa-ecotype/?anchor=331
OEBI,Oenothera biennis,ErnstSeed.com,https://www.ernstseed.com/product/evening-primrose/?anchor=332
OESP2,Oenothera speciosa,ErnstSeed.com,https://www.ernstseed.com/product/showy-evening-primrose/?anchor=334
ONSE,Onoclea sensibilis,ErnstSeed.com,https://www.ernstseed.com/product/sensitive-fern/?anchor=336
PAAM2,Panicum amarum,ErnstSeed.com,https://www.ernstseed.com/product/coastal-panicgrass-atlantic-va-ecotype/?anchor=337
PADI,Panicum dichotomiflorum,ErnstSeed.com,https://www.ernstseed.com/product/smooth-panicgrass-pa-ecotype/?anchor=343
PARI4,Panicum rigidulum,ErnstSeed.com,https://www.ernstseed.com/product/redtop-panicgrass-coastal-plain-nc-ecotype/?anchor=345
PAVI2,Panicum virgatum,ErnstSeed.com,https://www.ernstseed.com/product/switchgrass-blackwell/?anchor=348
PAIN3,Parthenium integrifolium,ErnstSeed.com,https://www.ernstseed.com/product/wild-quinine-nc-ecotype/?anchor=364
PAQU2,Parthenocissus quinquefolia,ErnstSeed.com,https://www.ernstseed.com/product/virginia-creeper-pa-ecotype/?anchor=366
PEVI,Peltandra virginica,ErnstSeed.com,https://www.ernstseed.com/product/arrow-arum-pa-ecotype/?anchor=367
PEAU,Penstemon australis,ErnstSeed.com,https://www.ernstseed.com/product/eustis-lake-beardtongue-suther-nc-ecotype/?anchor=368
PECA8,Penstemon canescens,ErnstSeed.com,https://www.ernstseed.com/product/eastern-gray-beardtongue/?anchor=369
PEDI,Penstemon digitalis,ErnstSeed.com,https://www.ernstseed.com/product/tall-white-beardtongue/?anchor=370
PELA8,Penstemon laevigatus,ErnstSeed.com,https://www.ernstseed.com/product/appalachian-beardtongue/?anchor=373
PESE6,Penthorum sedoides,ErnstSeed.com,https://www.ernstseed.com/product/ditch-stonecrop-pa-ecotype/?anchor=375
PHDR,Phlox drummondii,ErnstSeed.com,https://www.ernstseed.com/product/annual-phlox/?anchor=379
PLOC,Platanus occidentalis,ErnstSeed.com,https://www.ernstseed.com/product/american-sycamore-pa-ecotype/?anchor=381
POPE2,Polygonum pensylvanicum,ErnstSeed.com,https://www.ernstseed.com/product/pennsylvania-smartweed-pa-ecotype/?anchor=392
POSA5,Polygonum sagittatum,ErnstSeed.com,https://www.ernstseed.com/product/arrowleaf-tearthumb-pa-ecotype/?anchor=393
POCO14,Pontederia cordata,ErnstSeed.com,https://www.ernstseed.com/product/pickerelweed/?anchor=394
PRSE2,Prunus serotina,ErnstSeed.com,https://www.ernstseed.com/product/wild-black-cherry-pa-ecotype/?anchor=395
PYTE,Pycnanthemum tenuifolium,ErnstSeed.com,https://www.ernstseed.com/product/narrowleaf-mountainmint/?anchor=398
PYVI,Pycnanthemum virginianum,ErnstSeed.com,https://www.ernstseed.com/product/virginia-mountainmint/?anchor=399
RACO3,Ratibida columnifera,ErnstSeed.com,https://www.ernstseed.com/product/yellow-prairie-coneflower/?anchor=403
RAPI,Ratibida pinnata,ErnstSeed.com,https://www.ernstseed.com/product/grey-headed-coneflower/?anchor=404
RHTY,Rhus typhina,ErnstSeed.com,https://www.ernstseed.com/product/staghorn-sumac-pa-ecotype/?anchor=407
ROPS,Robinia pseudoacacia,ErnstSeed.com,https://www.ernstseed.com/product/black-locust/?anchor=409
ROPA,Rosa palustris,ErnstSeed.com,https://www.ernstseed.com/product/swamp-rose-pa-ecotype/?anchor=410
RUAL,Rubus allegheniensis,ErnstSeed.com,https://www.ernstseed.com/product/common-blackberry-pa-ecotype/?anchor=411
RUHI2,Rudbeckia hirta,ErnstSeed.com,https://www.ernstseed.com/product/blackeyed-susan/?anchor=414
RUTR2,Rudbeckia triloba,ErnstSeed.com,https://www.ernstseed.com/product/browneyed-susan-wv-ecotype/?anchor=419
SALA2,Sagittaria latifolia,ErnstSeed.com,https://www.ernstseed.com/product/duck-potato-arrowhead-pa-ecotype/?anchor=420
SACE,Saururus cernuus,ErnstSeed.com,https://www.ernstseed.com/product/lizards-tail-nc-ecotype/?anchor=424
SCSC,Schizachyrium scoparium,ErnstSeed.com,https://www.ernstseed.com/product/little-bluestem-aldous/?anchor=426
SCAT2,Scirpus atrovirens,ErnstSeed.com,https://www.ernstseed.com/product/green-bulrush/?anchor=435
SCCY,Scirpus cyperinus,ErnstSeed.com,https://www.ernstseed.com/product/woolgrass-coastal-plain-nc-ecotype/?anchor=437
SCPE4,Scirpus pendulus,ErnstSeed.com,https://www.ernstseed.com/product/brown-bulrush-pa-ecotype/?anchor=441
SEMA11,Senna marilandica,ErnstSeed.com,https://www.ernstseed.com/product/maryland-senna/?anchor=446
SIPE2,Silphium perfoliatum,ErnstSeed.com,https://www.ernstseed.com/product/cup-plant/?anchor=452
SITE,Silphium terebinthinaceum,ErnstSeed.com,https://www.ernstseed.com/product/prairie-dock-oh-ecotype/?anchor=453
SITR7,Silphium trifoliatum,ErnstSeed.com,https://www.ernstseed.com/product/whorled-rosinweed/?anchor=454
SIAN3,Sisyrinchium angustifolium,ErnstSeed.com,https://www.ernstseed.com/product/narrowleaf-blue-eyed-grass/?anchor=455
SOBI,Solidago bicolor,ErnstSeed.com,https://www.ernstseed.com/product/white-silver-rod-goldenrod-pa-ecotype/?anchor=456
SOGI,Solidago gigantea,ErnstSeed.com,https://www.ernstseed.com/product/smooth-goldenrod/?anchor=458
SOJU,Solidago juncea,ErnstSeed.com,https://www.ernstseed.com/product/early-goldenrod-pa-ecotype/?anchor=459
SONE,Solidago nemoralis,ErnstSeed.com,https://www.ernstseed.com/product/gray-goldenrod-pa-ecotype/?anchor=461
SOOD,Solidago odora,ErnstSeed.com,https://www.ernstseed.com/product/licorice-scented-goldenrod-ga-ecotype/?anchor=463
SOPA2,Solidago patula,ErnstSeed.com,https://www.ernstseed.com/product/roughleaf-goldenrod-pa-ecotype/?anchor=465
SORU2,Solidago rugosa,ErnstSeed.com,https://www.ernstseed.com/product/wrinkleleaf-goldenrod-pa-ecotype/?anchor=469
SOSP2,Solidago speciosa,ErnstSeed.com,https://www.ernstseed.com/product/showy-goldenrod/?anchor=470
SONU2,Sorghastrum nutans,ErnstSeed.com,https://www.ernstseed.com/product/indiangrass-holt/?anchor=473
SPAM,Sparganium americanum,ErnstSeed.com,https://www.ernstseed.com/product/eastern-bur-reed/?anchor=482
TROH,Tradescantia ohiensis,ErnstSeed.com,https://www.ernstseed.com/product/ohio-spiderwort-al-ecotype/?anchor=487
TRSU2,Tradescantia subaspera,ErnstSeed.com,https://www.ernstseed.com/product/zigzag-spiderwort-va-ecotype/?anchor=489
TRVI,Tradescantia virginiana,ErnstSeed.com,https://www.ernstseed.com/product/virginia-spiderwort-southeastern-panorthern-va-blend/?anchor=490
TRFL2,Tridens flavus,ErnstSeed.com,https://www.ernstseed.com/product/purpletop/?anchor=491
TRDA3,Tripsacum dactyloides,ErnstSeed.com,https://www.ernstseed.com/product/eastern-gamagrass/?anchor=505
VEHA2,Verbena hastata,ErnstSeed.com,https://www.ernstseed.com/product/blue-vervain-pa-ecotype/?anchor=507
VEST,Verbena stricta,ErnstSeed.com,https://www.ernstseed.com/product/hoary-vervain/?anchor=508
VEUR,Verbena urticifolia,ErnstSeed.com,https://www.ernstseed.com/product/white-vervain-pa-ecotype/?anchor=509
VEAL,Verbesina alternifolia,ErnstSeed.com,https://www.ernstseed.com/product/wingstem-pa-ecotype/?anchor=510
VEAN,Vernonia angustifolia,ErnstSeed.com,https://www.ernstseed.com/product/tall-ironweed-sc-ecotype/?anchor=511
VEGI,Vernonia gigantea,ErnstSeed.com,https://www.ernstseed.com/product/giant-ironweed-pa-ecotype/?anchor=512
VENO,Vernonia noveboracensis,ErnstSeed.com,https://www.ernstseed.com/product/new-york-ironweed-suther-piedmont-nc-ecotype/?anchor=513
VEVI4,Veronicastrum virginicum,ErnstSeed.com,https://www.ernstseed.com/product/culvers-root-pa-ecotype/?anchor=515
VIDE,Viburnum dentatum,ErnstSeed.com,https://www.ernstseed.com/product/arrowwood-pa-ecotype/?anchor=516
VILE,Viburnum lentago,ErnstSeed.com,https://www.ernstseed.com/product/nannyberry-ia-ecotype/?anchor=517
ZIAQ,Zizania aquatica,ErnstSeed.com,https://www.ernstseed.com/product/wildrice/?anchor=523
ZIAU,Zizia aurea,ErnstSeed.com,https://www.ernstseed.com/product/golden-alexanders/?anchor=524
ACMI2,Achillea millefolium,IzelPlants.com,https://www.izelplants.com/achillea-millefolium-common-yarrow/
ADPE,Adiantum pedatum,IzelPlants.com,https://www.izelplants.com/adiantum-pedatum-northern-maidenhair/
ALCE2,Allium cernuum,IzelPlants.com,https://www.izelplants.com/allium-cernuum-nodding-onion/
ANGL2,Andropogon glomeratus,IzelPlants.com,https://www.izelplants.com/andropogon-glomeratus/
ANVI2,Andropogon virginicus,IzelPlants.com,https://www.izelplants.com/andropogon-virginicus-broomsedge-bluestem/
ARDI8,Aruncus dioicus,IzelPlants.com,https://www.izelplants.com/aruncus-dioicus-bride-s-feathers/
ASIN,Asclepias incarnata,IzelPlants.com,https://www.izelplants.com/asclepias-incarnata-swamp-milkweed/
ASSY,Asclepias syriaca,IzelPlants.com,https://www.izelplants.com/asclepias-syriaca-common-milkweed/
ASTU,Asclepias tuberosa,IzelPlants.com,https://www.izelplants.com/asclepias-tuberosa-butterfly-milkweed/
ASVE,Asclepias verticillata,IzelPlants.com,https://www.izelplants.com/asclepias-verticillata-whorled-milkweed/
ASTR,Asimina triloba,IzelPlants.com,https://www.izelplants.com/asimina-triloba-pawpaw/
BLHI,Blephilia hirsuta,IzelPlants.com,https://www.izelplants.com/blephilia-hirsuta-hairy-pagoda-plant/
BOFL3,Bolboschoenus fluviatilis,IzelPlants.com,https://www.izelplants.com/bolboschoenus-fluviatilis-river-bulrush/
BOAS,Boltonia asteroides,IzelPlants.com,https://www.izelplants.com/boltonia-asteroides-white-doll-s-daisy/
BOCU,Bouteloua curtipendula,IzelPlants.com,https://www.izelplants.com/bouteloua-curtipendula-sideoats-grama/
BRPU6,Bromus pubescens,IzelPlants.com,https://www.izelplants.com/bromus-pubescens-hairy-woodland-brome/
CASC5,Camassia scilloides,IzelPlants.com,https://www.izelplants.com/camassia-scilloides-atlantic-camas/
CAAM8,Carex amphibola,IzelPlants.com,https://www.izelplants.com/carex-amphibola/
CAAN6,Carex annectens,IzelPlants.com,https://www.izelplants.com/carex-annectens-yellowfruit-sedge/
CACO8,Carex comosa,IzelPlants.com,https://www.izelplants.com/carex-comosa-longhair-sedge/
CACR6,Carex crinita,IzelPlants.com,https://www.izelplants.com/carex-crinita-fringed-sedge/
CAEB2,Carex eburnea,IzelPlants.com,https://www.izelplants.com/carex-eburnea-bristleleaf-sedge/
CAFL3,Carex flaccosperma,IzelPlants.com,https://www.izelplants.com/carex-flaccosperma-thinfruit-sedge/
CAFR3,Carex frankii,IzelPlants.com,https://www.izelplants.com/carex-frankii-frank-s-sedge/
CAGR5,Carex grayi,IzelPlants.com,https://www.izelplants.com/carex-grayi-gray-s-sedge/
CALU4,Carex lupulina,IzelPlants.com,https://www.izelplants.com/carex-lupulina-hop-sedge/
CALU5,Carex lurida,IzelPlants.com,https://www.izelplants.com/carex-lurida-shallow-sedge/
CAMO11,Carex molesta,IzelPlants.com,https://www.izelplants.com/carex-molesta-field-oval-sedge/
CAPE6,Carex pensylvanica,IzelPlants.com,https://www.izelplants.com/carex-pensylvanica-pennsylvania-sedge/
CARA8,Carex radiata,IzelPlants.com,https://www.izelplants.com/carex-radiata-eastern-star-sedge/
CASC11,Carex scoparia,IzelPlants.com,https://www.izelplants.com/carex-scoparia-broom-sedge/
CAST5,Carex stipata,IzelPlants.com,https://www.izelplants.com/carex-stipata-awlfruit-sedge/
CAST8,Carex stricta,IzelPlants.com,https://www.izelplants.com/carex-stricta-tussock-sedge/
CAVU2,Carex vulpinoidea,IzelPlants.com,https://www.izelplants.com/carex-vulpinoidea-fox-sedge/
CHLA5,Chasmanthium latifolium,IzelPlants.com,https://www.izelplants.com/chasmanthium-latifolium-indian-woodoats/
CHLA6,Chasmanthium laxum,IzelPlants.com,https://www.izelplants.com/chasmanthium-laxum-slender-woodoats/
CHGL2,Chelone glabra,IzelPlants.com,https://www.izelplants.com/chelone-glabra-white-turtlehead/
CLVI3,Claytonia virginica,IzelPlants.com,https://www.izelplants.com/claytonia-virginica-virginia-springbeauty/
CLVI5,Clematis virginiana,IzelPlants.com,https://www.izelplants.com/clematis-virginiana-devil-s-darning-needles/
COCO13,Conoclinium coelestinum,IzelPlants.com,https://www.izelplants.com/conoclinium-coelestinum-blue-mistflower/
DAPU5,Dalea purpurea,IzelPlants.com,https://www.izelplants.com/dalea-purpurea-purple-prairie-clover/
DEEX,Delphinium exaltatum,IzelPlants.com,https://www.izelplants.com/delphinium-exaltatum-tall-larkspur/
DEFL,Deschampsia flexuosa,IzelPlants.com,https://www.izelplants.com/deschampsia-flexuosa-wavy-hairgrass/
DIAM,Diarrhena americana,IzelPlants.com,https://www.izelplants.com/diarrhena-americana-american-beakgrain/
DICU,Dicentra cucullaria,IzelPlants.com,https://www.izelplants.com/dicentra-cucullaria-dutchman-s-breeches/
DUAR3,Dulichium arundinaceum,IzelPlants.com,https://www.izelplants.com/dulichium-arundinaceum-threeway-sedge/
ECPA,Echinacea pallida,IzelPlants.com,https://www.izelplants.com/echinacea-pallida-pale-purple-coneflower/
ECPU,Echinacea purpurea,IzelPlants.com,https://www.izelplants.com/echinacea-purpurea-eastern-purple-coneflower/
ELAC,Eleocharis acicularis,IzelPlants.com,https://www.izelplants.com/eleocharis-acicularis-needle-spikerush/
ELOB2,Eleocharis obtusa,IzelPlants.com,https://www.izelplants.com/eleocharis-obtusa-blunt-spikerush/
ELPA3,Eleocharis palustris,IzelPlants.com,https://www.izelplants.com/eleocharis-palustris-common-spikerush/
ELPA5,Eleocharis parvula,IzelPlants.com,https://www.izelplants.com/eleocharis-parvula-dwarf-spikerush/
ELHY,Elymus hystrix,IzelPlants.com,https://www.izelplants.com/elymus-hystrix-eastern-bottlebrush-grass/
